algorithm,topology,file,acceptance_rate,avg_time_per_vnr,total_run_time,r2c_ratio,num_requests,success_count
global_summary.csv,Unknown,global_summary.csv,0.16,9.936554880142213,1987.3109760284424,0.0873289729559163,200,32.0
global_summary.csv,Unknown,global_summary.csv,0.72,9.89692206978798,1979.384413957596,0.3633469495239552,200,144.0
global_summary.csv,Unknown,global_summary.csv,0.735,9.910954331159592,1982.1908662319183,0.382826868672975,200,147.0
global_summary.csv,Unknown,global_summary.csv,0.11,8.70754294514656,1741.508589029312,0.0515968321131977,200,22.0
global_summary.csv,Unknown,global_summary.csv,0.14,8.740152986049653,1748.0305972099304,0.0505931217717693,200,28.0
global_summary.csv,Unknown,global_summary.csv,0.145,8.81847683429718,1763.695366859436,0.0518056978275679,200,29.0
global_summary.csv,Unknown,global_summary.csv,0.13,8.895513414144515,1779.1026828289032,0.0494884258546846,200,26.0
global_summary.csv,Unknown,global_summary.csv,0.1,8.91220994591713,1782.441989183426,0.0499060609921392,200,20.0
global_summary.csv,Unknown,global_summary.csv,0.76,13.349265526533129,2669.853105306626,0.5915273038252744,200,152.0
global_summary.csv,Unknown,global_summary.csv,0.745,13.408831125497818,2681.7662250995636,0.5840994636969841,200,149.0
global_summary.csv,Unknown,global_summary.csv,0.76,13.490886305570603,2698.1772611141205,0.5684405498359545,200,152.0
global_summary.csv,Unknown,global_summary.csv,0.725,13.902973101139068,2780.5946202278137,0.5587347009272337,200,145.0
global_summary.csv,Unknown,global_summary.csv,0.73,14.16846058011055,2833.69211602211,0.5606302366293604,200,146.0
global_summary.csv,Unknown,global_summary.csv,0.37,16.169786084890365,3233.957216978073,0.3541195478012141,200,74.0
global_summary.csv,Unknown,global_summary.csv,0.35,16.220533230304717,3244.1066460609436,0.3285170898531662,200,70.0
global_summary.csv,Unknown,global_summary.csv,0.39,16.218307280540465,3243.6614561080933,0.3755942952893816,200,78.0
global_summary.csv,Unknown,global_summary.csv,0.345,16.504447610378264,3300.889522075653,0.3246810904814227,200,69.0
global_summary.csv,Unknown,global_summary.csv,0.355,16.772875394821167,3354.5750789642334,0.3293551515180991,200,71.0
